박종기	두산	6.92	4.85	1.43
이민우	KIA	5.69	3.99	1.43
김대우	삼성	4.29	3.01	1.42
이재학	NC	6.06	4.27	1.42
채지선	두산	9.27	6.55	1.42
김강률	두산	9	6.43	1.4
원태인	삼성	5.01	3.6	1.39
김선기	키움	4.5	3.27	1.38
강윤구	NC	6.43	4.71	1.36
고영창	KIA	3.57	2.64	1.35
정해영	KIA	7.51	5.63	1.33
양창섭	삼성	5.4	4.05	1.33
강동호	롯데	6.55	4.91	1.33
김윤수	삼성	6.36	4.81	1.32
유원상	KT	5.2	3.94	1.32
김범수	한화	9	6.87	1.31
이영하	두산	5.8	4.5	1.29
배민서	NC	6.08	4.73	1.29
전유수	KT	5.32	4.14	1.29
김기훈	KIA	6.75	5.37	1.26
하재훈	SK	6.92	5.54	1.25
핀토	SK	6.22	5	1.24
송윤준	한화	6.26	5.09	1.23
김대현	LG	7.79	6.4	1.22
황영국	한화	7.91	6.52	1.21
박정수	NC	7.91	6.55	1.21
양기현	키움	4.63	3.86	1.2
손동현	KT	5.31	4.43	1.2
박주홍	한화	6.93	5.84	1.19
문성현	키움	7.8	6.6	1.18
장현식	KIA	5.71	4.83	1.18
이상민	삼성	8.36	7.07	1.18
노성호	삼성	8.42	7.18	1.17
남호	LG	6.87	5.89	1.17
심창민	삼성	9.3	7.97	1.17
김진욱	한화	5.84	5.04	1.16
주권	KT	4.76	4.11	1.16
이대은	KT	4.6	3.99	1.15
장지훈	삼성	7.81	6.83	1.14
홍상삼	KIA	11.44	10.13	1.13
이건욱	SK	6.71	5.98	1.12
김민	KT	6.75	6.12	1.1
김태훈	SK	6.24	5.66	1.1
윤정현	키움	3.62	3.29	1.1
김주한	SK	4.3	3.91	1.1
김택형	SK	8.61	7.83	1.1
배제성	KT	5.29	4.84	1.09
김재열	KIA	6.75	6.23	1.08
이원준	SK	7.91	7.45	1.06
박관진	키움	27	27	1
윤강민	SK	13.5	13.5	1
윤희상	SK	6	6	1
김대유	LG	3.86	3.86	1
성재헌	LG	2.08	2.08	1
김태경	NC	9	9	1
손정욱	NC	3.75	3.75	1
이상동	KT	4.5	4.5	1
이선우	KT	4.5	4.5	1
임준섭	한화	6.23	6.23	1
한승주	한화	10.8	10.8	1
고효준	롯데	6.32	6.32	1
하준호	KT	5.62	5.83	0.96
배재환	NC	6.91	7.33	0.94
김정빈	SK	7.99	8.56	0.93
김이환	한화	5.71	6.12	0.93
홍성무	NC	7.2	7.8	0.92
김현준	KIA	7.53	8.16	0.92
김명찬	KIA	11.42	12.46	0.92
박시영	롯데	6.23	6.82	0.91
백승건	SK	8.59	9.51	0.9
김진호	NC	6.1	6.97	0.88
박진태	KIA	6.75	7.71	0.88
조제영	두산	9	10.5	0.86
이상규	LG	5.23	6.1	0.86
조영건	키움	4.67	5.48	0.85
