//2020타자
//선수	이름	장타율	OBP	OPS

화이트	SK	0.318	0.367	0.685
이성우	LG	0.364	0.289	0.653
장준원	LG	0.317	0.284	0.601
김태군	NC	0.372	0.347	0.719
이홍구	KT	0.321	0.266	0.587
허도환	KT	0.283	0.361	0.644
이우성	KIA	0.22	0.299	0.519
김규민	키움	0.277	0.25	0.527
송민섭	KT	0.341	0.292	0.633
홍현빈	KT	0	0.217	0.217
이진영	KIA	0.273	0.37	0.643
김도환	삼성	0.268	0.292	0.56
김응민	삼성	0.237	0.28	0.517
김문호	한화	0.37	0.308	0.678
장진혁	한화	0.219	0.27	0.489
김동한	롯데	0.294	0.274	0.568
최용제	두산	0.341	0.354	0.695
김주형	키움	0.372	0.327	0.699
임병욱	키움	0.378	0.341	0.719
이현석	SK	0.257	0.224	0.481
백승현	LG	0.286	0.364	0.65
신민재	LG	0.346	0.4	0.746
김찬형	NC	0.391	0.343	0.734
장영석	KIA	0.129	0.243	0.372
홍종표	KIA	0.288	0.282	0.57
유장혁	한화	0.19	0.239	0.429
최인호	한화	0.236	0.261	0.497
강로한	롯데	0.19	0.346	0.536
추재현	롯데	0.125	0.25	0.375
권민석	두산	0.3	0.291	0.591
서예일	두산	0.32	0.31	0.63
신성현	두산	0.5	0.571	1.071
양찬열	두산	0.227	0.346	0.573
김경호	SK	0.333	0.303	0.636
김용의	LG	0.357	0.297	0.654
이상호	NC	0.148	0.172	0.32
오선우	KIA	0.418	0.301	0.719
황윤호	KIA	0.286	0.274	0.56
김재현	삼성	0.143	0.294	0.437
김회성	한화	0.222	0.304	0.526
박정현	한화	0.377	0.313	0.69
정기훈	한화	0.226	0.278	0.504
지성준	롯데	0.25	0.455	0.705
안권수	두산	0.27	0.3	0.57
정상호	두산	0.233	0.18	0.413
조수행	두산	0.263	0.3	0.563
박정음	키움	0.233	0.255	0.488
송우현	키움	0	0.2	0.2
윤석민	SK	0.342	0.211	0.553
이거연	SK	0.125	0.3	0.425
이재원	LG	0.05	0.136	0.186
도태훈	NC	0.182	0.308	0.49
박준영	NC	0.239	0.235	0.474
