//타자정보
//선수명	팀명	SLG	OBP	OPS

김기환	NC	0.35	0.25	0.6
문상철	KT	0.344	0.292	0.636
허도환	KT	0.39	0.339	0.729
유민상	KIA	0.317	0.378	0.695
이병규	롯데	0.235	0.395	0.63
유장혁	한화	0.224	0.218	0.442
이원석	한화	0.228	0.238	0.466
문성주	LG	0.278	0.303	0.581
프레이타스	키움	0.374	0.297	0.671
허정협	키움	0.156	0.269	0.425
이정범	SSG	0.475	0.333	0.808
장지승	한화	0.246	0.271	0.517
도태훈	NC	0.242	0.289	0.531
지석훈	NC	0.176	0.302	0.478
오재원	두산	0.208	0.228	0.436
김건형	KT	0.242	0.333	0.575
민병헌	롯데	0.262	0.292	0.554
김민수	삼성	0.447	0.318	0.765
최항	SSG	0.333	0.346	0.679
노태형	한화	0.14	0.224	0.364
김재성	LG	0.246	0.208	0.454
강경학	KIA	0.152	0.282	0.434
김규성	KIA	0.167	0.244	0.411
장두성	롯데	0.333	0.317	0.65
김성표	삼성	0.333	0.478	0.811
최영진	삼성	0.421	0.349	0.77
이현석	SSG	0.481	0.302	0.783
박대온	NC	0.224	0.242	0.466
신민재	LG	0.13	0.259	0.389
김주형	키움	0.24	0.388	0.628
신준우	키움	0.238	0.28	0.518
임지열	키움	0.12	0.267	0.387
강태율	롯데	0.231	0.194	0.425
오준혁	SSG	0.391	0.28	0.671
이도윤	한화	0.175	0.224	0.399
윤형준	NC	0.5	0.321	0.821
신성현	두산	0.182	0.4	0.582
안권수	두산	0.286	0.289	0.575
강민국	KT	0.289	0.292	0.581
천성호	KT	0.31	0.362	0.672
구본혁	LG	0.184	0.205	0.389
한석현	LG	0.476	0.385	0.861
김재현	키움	0.37	0.265	0.635
문찬종	키움	0.143	0.294	0.437
이진영	KIA	0.45	0.319	0.769
최정민	KIA	0.333	0.474	0.807

