
미란다	두산	11.66	3.26	3.57
데스파이네	KT	7.87	3.72	2.12
라이블리	삼성	10.26	3.51	2.92
폰트	SSG	9.7	2.78	3.49
루친스키	NC	8.92	2.77	3.22
뷰캐넌	삼성	8.24	3	2.75
파슨스	NC	10.02	4.26	2.35
원태인	삼성	7.32	2.89	2.53
카펜터	한화	9.48	3.81	2.49
켈리	LG	7.22	3.05	2.37
박종훈	SSG	6.79	2.82	2.41
로켓	두산	8.13	3.05	2.67
스트레일리	롯데	8.91	3.64	2.45
문승원	SSG	5.72	3.22	1.78
쿠에바스	KT	9.25	3.44	2.69
다카하시	KIA	11.29	2.95	3.83
킹험	한화	8.19	2.56	3.2
브리검	키움	7.23	3.84	1.88
멩덴	KIA	7.8	2.63	2.97
송명기	NC	7.44	4.23	1.76
브룩스	KIA	6.35	1.85	3.44
배제성	KT	8.64	5.21	1.66
박세웅	롯데	6.9	2.93	2.36
고영표	KT	7.02	1.46	4.81
백정현	삼성	6.22	3.08	2.02
최원준	두산	6.42	2.1	3.05
김민우	한화	7.24	4.4	1.64
요키시	키움	6.5	2.28	2.85
엄상백	KT	7.69	4.78	1.61
몽고메리	삼성	9.52	6.58	1.45
임기영	KIA	7.59	2.65	2.87
스미스	키움	4.5	4.5	1
곽빈	두산	8.76	7.21	1.22
안우진	키움	9.2	3.43	2.68
이재학	NC	7.05	5.64	1.25
소형준	KT	6.43	3.86	1.67
최원태	키움	5.84	3.33	1.75
이의리	KIA	8.84	5.32	1.66
가빌리오	SSG	7.75	3.32	2.33
임찬규	LG	6.65	4.07	1.63
신민혁	NC	6.64	2.73	2.43
수아레즈	LG	9.83	3.2	3.07
정찬헌	키움	4.64	2.13	2.19
최채흥	삼성	6.03	2.72	2.22
강태경	NC	7.11	7.11	1
이민호	LG	7.83	3.52	2.22
유희관	두산	3.29	3.43	0.96
이재희	삼성	7.06	4.15	1.7
한현희	키움	6.41	3.15	2.03
차우찬	LG	4.84	5.24	0.92
노경은	롯데	5.59	3.83	1.46
프랑코	롯데	7.44	4.5	1.65
손주영	LG	7.09	6.75	1.05
허윤동	삼성	7.36	2.45	3
장시환	한화	6.13	6.26	0.98
김기중	한화	6.04	6.04	1
김정빈	SSG	10.9	10.38	1.05
이승민	삼성	5.55	4.54	1.22
김유신	KIA	4.8	5.8	0.83
이정현	KT	1.04	5.19	0.2
이승헌	롯데	4.84	6.71	0.72
이민우	KIA	4.42	4.89	0.9
오원석	SSG	7.77	5.97	1.3
정수민	SSG	6.53	8.01	0.81
임준형	LG	8.22	1.57	5.25
이건욱	SSG	3.55	13.5	0.26
김정인	키움	5.97	5.12	1.17
차명진	KIA	5.06	10.97	0.46
르위키	SSG	5.65	1.26	4.5
최용준	KIA	8.53	9.95	0.86
김현수	KIA	5.32	7.09	0.75
양선률	SSG	9	27	0.33
남지민	한화	3.68	8.59	0.43
한승혁	KIA	6.46	3.8	1.7
박정수	두산	7.71	4.15	1.86
조병현	SSG	10.8	6.75	1.6
박종기	두산	4.98	4.37	1.14
윤중현	KIA	3.59	3.38	1.06
박주홍	한화	9	27	0.33
이상영	LG	5.4	5.76	0.94
최민준	SSG	6.49	5.23	1.24
이우찬	LG	7.15	6.62	1.08
구준범	삼성	4.5	13.5	0.33
강지광	SSG	9	36	0.25
현도훈	두산	9.35	13.5	0.69
이태양	SSG	5.38	2.78	1.94
김선기	키움	4.66	4.1	1.14
김태경	NC	6	5.4	1.11
배재준	LG	6.34	3.58	1.77
남재현	KIA	5.63	11.25	0.5
김건우	SSG	5.73	9.82	0.58
이영하	두산	6.06	6.52	0.93
최영환	롯데	6.2	5.31	1.17
조제영	두산	4.22	8.44	0.5
이인복	롯데	6.6	2.05	3.21
이채호	SSG	5.4	5.4	1
장민재	한화	3.99	2.45	1.63
서준원	롯데	6.17	4.83	1.28
김이환	한화	4.5	7.62	0.59
나균안	롯데	5.24	4.66	1.13
조영우	SSG	6.48	3.51	1.85
배동현	한화	6.16	5.92	1.04
강동연	NC	5.48	5.48	1
이종민	키움	11.57	27	0.43
변시원	KIA	0	40.5	0
장웅정	한화	4.91	2.45	2
김윤식	LG	7.56	4.86	1.56
김동혁	키움	3.29	3.73	0.88
김진호	NC	9	27	0.33
김민규	두산	6.23	4.47	1.39
김건국	롯데	6.95	5.73	1.21
정동윤	SSG	0	4.5	0
양창섭	삼성	7.8	4.8	1.63
이찬혁	LG	18	18	1
임규빈	키움	6.23	4.15	1.5
윤대경	한화	6.26	3.94	1.59
한차현	KT	7.36	4.91	1.5
김영규	NC	5.94	3.96	1.5
김인범	키움	8.44	1.69	5
이용준	NC	5.4	21.6	0.25
강경학	KIA	0	27	0
박승주	키움	2.08	6.23	0.33
장지수	KIA	3.14	8.16	0.38
김대우	삼성	4.76	2.65	1.8
김동우	롯데	5.4	9	0.6
심재민	KT	6.75	2.12	3.18
정인욱	한화	5.79	9.64	0.6
조요한	SSG	5.14	11.57	0.44
서덕원	KIA	6.61	3.86	1.71
최금강	NC	8.04	5.46	1.47
김진욱	롯데	8.87	9.66	0.92
김창훈	롯데	6.75	6.75	1
서동민	SSG	8.2	5.81	1.41
조영건	키움	27	18	1.5
김주온	SSG	13.5	9	1.5
함덕주	LG	7.71	5.57	1.38
채지선	LG	9.35	10.38	0.9
이승관	한화	7.94	25.41	0.31
